codeCIS;codeSubstance;dosage;referenceDosage
60187501;3902;200 mg;une gélule
60192594;1958;40 mg;un comprimé
60195010;66431;500 mg;un comprimé
60195156;5033;1 200 000 UI;un flacon
60195398;81;25 mg;un comprimé
60196176;5248;100 mg;1 ml de suspension reconstituée
60196176;93286;12,5 mg;1 ml de suspension reconstituée
60196945;37430;3 mg;un comprimé
60196977;11279;2 mg;1 ml de solution pour perfusion
60197011;78924;19,155 mg;un comprimé
60197011;89971;15 mg;un comprimé
60199966;65853;20 mg;1 mL de solution
60200500;55910;13,5 mg;un dispositif
60200678;24519;160 mg;une gélule
60200938;60189;4000 UI;une seringue préremplie de 0,4 ml
60202031;258;3 DH (3ml);30 ml de solution buvable
60202031;267;2 DH (3ml);30 ml de solution buvable
60202031;3147;6 DH (3ml);30 ml de solution buvable
60202031;4119;TM (3ml);30 ml de solution buvable
60202031;6960;3 DH (3ml);30 ml de solution buvable
60202031;7823;6 DH (3ml);30 ml de solution buvable
60202031;7901;1 DH (3ml);30 ml de solution buvable
