codeCIS;codeCIP7
60681934;3611804
60683198;3403419
60683198;3403425
60685046;3015733
60685523;2775030
60685523;2775047
60687652;3020945
60688551;3019033
60689468;3023405
60689468;3023406
60690011;3022697
60691017;3002406
60691177;5503112
60691750;3007900
60691768;4927343
60692261;5628654
60692610;5506735
60693694;3674650
60693694;3674667
60693915;3894222
60694593;3018546
60694853;2779306
60695745;3067068
60696651;3405370
60697664;3665065
60698008;2775797
60698225;5506026
60698990;3639688
60699245;2666097
60699494;3712497
60699494;3839476
60700320;4168311
60700391;3005581
60701582;3010267
60701778;3814128
60702983;3021282
60702983;3577295
60702983;3738491
60703220;3059181
60703487;3555750
60703487;3555767
60703487;3719950
60703576;5642111
60703590;3324884
60703829;3572151
60705552;3358995
60705972;3001646
60707699;3490281
60707699;3490298
60707699;3784284
60707788;3007621
60709020;3007428
60709675;3002155
60710275;3680610
60710318;5611688
60711128;3424338
60711128;3435135
60711441;3511132
60712486;3015192
60712956;2767102
60713079;4176670
60714918;3820100
60715272;3002954
60715308;3893234
60715870;3010733
60715870;3010735
60715870;3010738
60716659;3565346
60716659;5731151
60716805;3011771
60716890;2235782
60717355;5502033
60717355;5502040
60717355;5502042
60718902;3311077
60719986;4919409
60719986;4919415
60720216;5506284
60720561;5561370
60722085;3471852
60722085;3471869
60722288;3013996
60722288;3013997
60723461;2690167
60723461;2690316
60724061;2209299
60726518;3046132
60726518;3057615
60726678;2235902
60726849;3019379
60727189;4900017
60727278;3016327
60727755;3651413
60728597;4177853
60728597;4177876
60728775;3874308
60728775;3874320
60729806;4156012
60729806;4156058
60730064;3464438
60730064;3474916
60730566;5761873
60730566;5761896
60730566;5761904
60730566;5761910
60731305;3022039
60731440;2178469
60731440;2178498
60731732;2754387
60734372;3961674
60734372;3961680
60736188;3711859
60736188;3711865
60736761;2757888
60738303;3773145
60739234;3364926
60740076;3573096
60740076;3573104
60740165;3004451
60740165;3004452
60740165;3006301
60741986;5611317
60742508;2773700
60742508;2773775
60742935;3075599
60743994;3714177
60743994;3714208
60744612;3000424
60744612;3000425
60744612;3000426
60744612;3000427
60744612;3000428
60744612;3057839
60744612;3057845
60744612;3057897
60744612;3057940
60744612;3634047
60744612;3634053
60744612;3634076
60744612;3634082
60744612;3907717
60744612;3907723
60744612;3907746
60744612;3907752
60744612;3907769
60744612;3907775
60744612;3907781
60744612;3952333
60744612;3952356
60744612;3952362
60744612;5500162
60744612;5500164
60744612;5500165
60744612;5535102
60744612;5535119
